legid,activity
#23:17864,Cycling
#23:17864,Thinking
#25:17774,Cycling
#24:17821,Listening
#24:17821,Thinking
#25:17780,Cycling
#25:17780,Talking
#22:17899,Cycling
#26:5091,Other
#24:17823,Cycling
#22:17906,Listening
#22:17906,Walking
#24:17915,Other
#24:17915,Cycling
#24:17849,Listening
#24:17849,Driving
#23:17923,Talking
#23:17923,Accompanying
#24:17960,Accompanying
#23:17941,Thinking
#24:18038,Relaxing
#24:18038,Browsing
#24:18038,ReadingPaper
#24:18038,Thinking
#23:17922,Accompanying
#25:17823,Driving
#25:17810,Listening
#24:17870,Accompanying
#24:17870,Talking
#23:18145,Cycling
#23:18113,ReadingPaper
#23:18113,Browsing
#25:17922,Cycling
#22:17957,Cycling
#23:18086,Cycling
#23:18086,PersonalCare
#25:18064,Cycling
#25:18064,Thinking
#23:18043,Listening
#25:17850,Accompanying
#25:17850,Cycling
#25:17841,Cycling
#24:17877,Cycling
#24:17877,Thinking
#27:5052,Thinking
#22:17956,Cycling
#22:17956,Thinking
#25:17911,Cycling
#25:17845,Talking
#25:17845,Accompanying
#23:17993,Cycling
#25:17835,Accompanying
#25:17835,Cycling
#23:19057,Cycling
#23:19057,Thinking
#25:17849,Cycling
#24:17882,Cycling
#24:17882,Thinking
#23:17931,Cycling
#23:18029,Thinking
#23:18029,Driving
#25:17844,Cycling
#25:17844,Thinking
#25:17844,Other
#24:17946,Walking
#23:18121,Accompanying
#23:18121,Talking
#24:19010,Cycling
#24:19010,Thinking
#22:18079,Accompanying
#24:17996,Walking
#24:17996,Accompanying
#24:17982,Driving
#24:17982,Thinking
#23:17947,Cycling
#23:18374,Eating
#23:18374,Accompanying
#23:18374,Talking
#25:17869,Cycling
#23:18209,Walking
#23:18209,Accompanying
#23:18209,Eating
#23:18209,Thinking
#29:4978,Thinking
#25:17868,Eating
#25:17962,Walking
#22:18125,Accompanying
#22:18125,Eating
#23:18046,Talking
#22:17995,Eating
#23:17956,Accompanying
#24:17905,Cycling
#22:18062,Cycling
#25:17877,Cycling
#26:5090,Relaxing
#22:17992,Walking
#24:17910,Walking
#24:17910,Accompanying
#24:17910,Talking
#25:18287,Talking
#25:18287,Accompanying
#25:18287,Eating
#22:17988,Cycling
#24:18077,Cycling
#24:18077,Thinking
#23:19053,Cycling
#23:19053,Thinking
#23:19053,Accompanying
#23:19053,Talking
#24:18004,Walking
#25:17938,Listening
#25:17938,Driving
#25:17938,Eating
#25:17938,Thinking
#23:18237,Eating
#24:18125,Accompanying
#25:17875,Cycling
#24:17918,Cycling
#24:17918,Thinking
#23:17964,Listening
#23:17964,Eating
#23:17964,Thinking
#23:17981,Talking
#23:17980,Cycling
#24:17933,Cycling
